Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2023-07-31,242.519592,244.202576,240.76445,241.120651,1092564922,47.158069804220766,49.449957038214315,-52.841930195779234,170493768746.60962,-1.0945264770903085,100.14089834532646,-0.0166532031746449,9,18,6,29278.314453,29489.873047,29131.578125,29230.111328,11656781982,1861.755249,1875.629395,1851.915405,1856.162354,4391613314,0.999924,1.000504,0.999488,0.999911,18354638255,24.261839,24.750183,23.658819,23.720957,376948332,1858.616089,1867.921265,1847.577393,1852.2854,119944903
2023-08-01,241.128052,247.50502,238.530243,247.50502,830645013,100.0,69.3473910409478,-0.0,171324413759.60962,2.6860780657418735,102.20444017048796,1.9658959710482744,6,19,9,29230.873047,29675.732422,28657.023438,29675.732422,18272392391,1856.190186,1873.029907,1817.920776,1871.792114,7634860636,0.999915,1.000495,0.998989,0.999522,27115449240,23.724892,23.998753,23.087238,23.998753,428254164,1852.19873,1864.349609,1814.044434,1864.349609,72776173
2023-08-02,247.490311,248.511551,236.891769,240.494644,650256385,34.390697168922095,60.516255657714275,-65.60930283107791,171077399444.5739,-0.808938240054753,99.21989711286962,-1.351308791283951,12,17,8,29704.146484,29987.998047,28946.509766,29151.958984,19212655598,1873.46814,1877.511475,1822.348267,1839.089722,6448512422,0.999544,1.000287,0.998896,0.999326,26312546015,23.993515,24.219627,22.984316,23.145721,393185796,1864.192383,1869.57605,1824.227661,1834.350342,44252893
2023-08-03,240.509979,241.583252,238.509644,241.061523,400525696,39.029959664991786,57.80688561130461,-60.970040335008214,171341950825.79572,0.8852661749445654,99.42079811721146,0.0127689104028249,7,21,9,29161.8125,29375.707031,28959.488281,29178.679688,12780357746,1838.897949,1856.407593,1825.347778,1835.136475,4710581074,0.999284,0.99982,0.998642,0.999448,20365437032,23.144894,23.353016,22.5401,22.636049,365983702,1834.420654,1848.650269,1823.259033,1825.914551,12962358
2023-08-04,241.042862,243.155472,240.452286,241.476013,370373499,42.422090811137494,38.61424921501712,-57.577909188862506,171252106562.3058,1.5421858463523883,99.62115353875691,-0.4041764895673043,9,18,12,29174.382813,29302.078125,28885.335938,29074.091797,12036639988,1834.890503,1847.912231,1817.413818,1827.712891,4861242484,0.999356,0.999667,0.998396,0.998602,20189124066,22.632715,23.521782,22.522667,22.793619,382245804,1825.842773,1842.524048,1816.662231,1821.096191,15343980
2023-08-05,241.48967,243.027725,240.090393,242.959351,300760369,54.56153212470713,45.337860866945455,-45.43846787529287,171538864980.2359,1.6726458720023425,100.21048718960536,1.679515213743939,6,1,0,29075.388672,29102.464844,28957.796875,29042.126953,6598366353,1827.798584,1836.464844,1824.807983,1834.987915,2866049749,0.998631,0.999229,0.998295,0.998983,14278737533,22.793602,22.895529,22.327997,22.632204,250613466,1821.208008,1832.67334,1819.640869,1831.717407,4140414
2023-08-06,242.960297,245.179016,242.614731,242.798599,417704185,53.24595909277579,50.076527342873455,-46.75404090722421,171181062431.04282,0.9562642507210876,100.1281001389712,2.098341597564762,4,3,2,29043.701172,29160.822266,28963.833984,29041.855469,7269806994,1834.845215,1836.248901,1824.986694,1827.462036,2963395076,0.999018,0.999272,0.998196,0.998382,14800094198,22.632547,23.4161,22.596603,23.185696,320595154,1831.914185,1832.192749,1820.671997,1822.669678,17924814
2023-08-07,242.791687,244.324249,239.935364,241.797501,425652309,43.43882635343553,50.41543919030614,-56.56117364656447,171116605693.91327,-0.0741950570879738,99.67550981409906,1.186439586382224,13,15,5,29038.513672,29244.28125,28724.140625,29180.578125,13618163710,1827.239502,1842.522583,1804.716675,1826.938843,5837881974,0.998295,0.999446,0.997796,0.998818,23981817200,23.185406,23.503939,22.487352,23.068756,353804981,1823.041138,1839.707886,1805.05127,1822.174805,35863048
2023-08-08,241.79187,247.647369,241.3302,245.149902,504987528,71.68045921198082,56.121748219397375,-28.319540788019182,171222303702.6392,1.0609161972371837,101.19781396617822,1.933941914345141,9,15,9,29180.019531,30176.796875,29113.814453,29765.492188,17570561357,1826.93103,1873.847168,1824.430054,1855.807373,5812855406,0.998841,1.000624,0.998482,0.999718,25874561718,23.069252,24.727625,23.021738,24.211763,495649796,1822.051392,1864.337524,1821.485352,1853.017578,41856653
2023-08-09,245.136307,245.340271,242.766495,243.893646,399576464,60.258247529944946,58.45917769845375,-39.741752470055054,171172705644.66525,0.5639230758554676,100.47783017036944,0.7920627641707254,10,21,7,29766.695313,30093.435547,29376.800781,29561.494141,18379521213,1855.779419,1869.736572,1845.489746,1854.297607,5870081833,0.999724,1.000264,0.998915,0.999425,22920990916,24.211031,24.951586,24.194208,24.378527,447009018,1852.873291,1862.358154,1840.669678,1848.997559,17334591
