Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-02-02,4.613741,5.403642,4.480119,5.267508,98755962,95.24448623935255,88.05171597472622,-4.755513760647432,258591258.38603783,50.32361979297466,124.08791357456948,76.13926065427736,2,0,0,33533.199219,35896.882813,33489.21875,35510.289063,63088585433,1369.505127,1542.990967,1362.77124,1515.193726,45437142801,1.000645,1.001785,1.000367,1.001427,112355343051,51.551884,52.911865,49.387074,51.056404,1006694242,1368.204468,1543.511719,1363.770386,1515.109497,1641086
2021-02-03,5.246592,5.780781,5.072738,5.71599,49386327,98.00015124413734,95.14497524799644,-1.9998487558626543,298939180.90309817,57.27417730135639,126.06046678622876,70.81885310300041,1,0,0,35510.820313,37480.1875,35443.984375,37472.089844,61166818159,1514.769653,1660.909546,1510.010254,1660.909546,41874566399,1.001389,1.002326,1.000786,1.001013,106216534834,51.050102,52.677433,49.955585,52.242638,714000888,1516.787842,1657.398682,1510.873047,1657.398682,231308
2021-02-04,5.731748,6.531011,5.603236,6.426065,108249482,97.36979091609702,96.87147613319564,-2.6302090839029826,382699212.03845537,73.67832429409773,130.9751722420232,83.38640431584379,2,0,0,37475.105469,38592.175781,36317.5,36926.066406,68838074392,1661.170166,1689.186646,1561.853516,1594.762695,44396871836,1.000989,1.001532,1.000509,1.000804,130071476669,52.24221,57.070911,51.602642,55.925125,940905214,1657.637939,1685.834839,1558.856567,1594.272583,180439
2021-02-05,6.43537,7.127117,6.426447,6.68172,92892157,88.31394609003885,94.5612960834244,-11.68605390996115,357493297.0464222,65.08876178240085,125.7606851924126,83.84602071697451,0,0,0,36931.546875,38225.90625,36658.761719,38144.308594,58598066402,1594.793335,1756.510986,1594.793335,1718.650879,40108628454,1.000788,1.001574,0.999962,1.000131,116242339499,56.010803,68.463959,56.010803,67.845566,1431595319,1594.185913,1759.033569,1594.185913,1719.55896,170494
2021-02-06,6.687301,6.799131,5.713828,6.110807,102365494,72.35137753423943,86.01170484679176,-27.648622465760575,330013713.1427289,65.57818580079538,109.462686214252,65.15779405353703,0,0,0,38138.386719,40846.546875,38138.386719,39266.011719,71326033653,1717.797485,1738.314453,1649.068726,1677.846802,39873420648,1.000127,1.002163,1.000068,1.001129,121039422025,67.854637,75.401878,62.208126,72.733597,2114553792,1720.281494,1738.867188,1636.273438,1677.891357,1176535
2021-02-07,6.117645,6.871514,5.768592,6.700463,105451103,88.39291616779661,83.01941326402495,-11.607083832203378,402756217.3129785,75.30970112546285,112.98132167208988,65.55185491741511,0,0,0,39250.191406,39621.835938,37446.152344,38903.441406,65500641143,1677.605713,1690.036621,1501.750244,1614.227783,39889440151,1.001124,1.001482,1.000308,1.001211,130348566847,72.868217,74.612549,64.497894,68.590523,1493688265,1677.703979,1689.664307,1502.441528,1614.651245,131391
2021-02-08,6.702447,8.055933,6.488928,7.88325,155254261,96.18323681445943,85.64251017216515,-3.816763185540564,523792627.633162,105.57799407303251,123.21482769885806,113.6042315219774,0,0,0,38886.828125,46203.929688,38076.324219,46196.464844,101467222687,1613.642212,1770.59082,1571.579956,1746.616821,48012285956,1.001241,1.003143,1.000291,1.001044,156718232410,68.525558,79.831543,67.859238,79.831543,2133574291,1614.849121,1765.30835,1572.123535,1747.388184,229327
2021-02-09,7.869795,8.467784,7.570215,7.816793,121037873,86.81185175100916,90.46266824442172,-13.188148248990824,469257222.1840555,85.04456148225164,115.59617466011684,104.5171571859452,0,0,1,46184.992188,48003.722656,45166.960938,46481.105469,91809846886,1746.926147,1815.963623,1711.620605,1768.035034,44180727529,1.001082,1.002882,1.000438,1.001232,155577364901,79.807022,115.131844,78.446327,107.899277,4425849540,1747.0896,1814.219116,1720.16272,1762.414185,668181
2021-02-10,7.818552,9.072604,7.613847,9.072214,120679902,99.99286070335252,94.32931642294037,-0.0071392966474676,589872596.422708,112.75580749618211,125.27886040905788,136.58358620128536,0,0,1,46469.761719,47145.566406,43881.152344,44918.183594,87301089896,1768.039795,1826.696777,1686.542358,1744.243408,41916084617,1.001268,1.001703,1.000323,1.000722,167294523848,107.708557,148.074768,107.708557,129.737152,7000323240,1762.941162,1819.71814,1672.862549,1711.096558,503252
2021-02-11,9.080357,9.707004,8.761316,9.215352,53600048,91.89711679278426,92.90060974904864,-8.102883207215752,587740583.1101059,99.82973378882215,120.61843959526333,118.15222300815572,0,1,0,44898.710938,48463.46875,44187.761719,47909.332031,81388911810,1743.714233,1806.539063,1708.679199,1783.797974,36021495262,1.000701,1.001316,1.00024,1.000367,144658901916,129.305237,131.53569,119.09626,124.434258,2809765027,1711.089478,1790.525146,1690.513794,1781.585693,393422
