Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL,Open_STETH,High_STETH,Low_STETH,Close_STETH,Volume_STETH
2021-02-11,1743.714233,1806.539063,1708.679199,1783.797974,36021495262,92.2332473617936,90.1745202767976,-7.7667526382063965,1281602715934.7148,30.295483502512845,103.59372828361188,29.62560200952438,0,1,0,44898.710938,48463.46875,44187.761719,47909.332031,81388911810,1.000701,1.001316,1.00024,1.000367,144658901916,129.305237,131.53569,119.09626,124.434258,2809765027,9.080357,9.707004,8.761316,9.215352,53600048,1711.089478,1790.525146,1690.513794,1781.585693,393422
2021-02-12,1783.489136,1861.356934,1744.168945,1843.532593,37905036865,96.96348093153784,91.82215479371628,-3.0365190684621552,1307977009615.798,21.66976152064663,105.9649352639163,40.19406322198332,2,0,0,47877.035156,48745.734375,46424.976563,47504.851563,76555041196,1.000467,1.001843,1.00015,1.001692,147107216422,124.159431,140.243164,121.727066,136.948395,2981627650,9.21479,9.924452,9.079012,9.247012,91484664,1781.827515,1847.514282,1722.891846,1834.777588,1304647
2021-02-13,1843.986816,1871.603516,1770.612061,1814.109863,35359490535,90.3735346600922,93.19008765114124,-9.6264653399078,1303076732053.0698,9.223880816926789,103.11992841442397,32.5095807773702,0,0,1,47491.203125,48047.746094,46392.28125,47105.515625,70250456155,1.001702,1.002065,0.99994,1.000828,153120142052,136.927994,138.470535,125.7286,133.452682,2116751635,9.236033,9.499039,8.683009,8.732455,91417968,1834.315918,1855.601929,1763.125122,1812.814331,684740
2021-02-14,1814.372314,1848.154053,1789.914185,1805.084106,31439114900,88.86230459567224,92.0664400624341,-11.137695404327763,1288015706792.3845,13.18825751689659,101.04090022639951,19.13223207208555,3,2,0,47114.507813,49487.640625,47114.507813,48717.289063,71248675228,1.000803,1.001228,1.000118,1.000746,138353850761,133.47377,138.75676,128.73172,136.426514,2312597445,8.742989,9.2203,8.559715,8.738896,93500423,1812.673706,1844.338135,1789.699463,1806.043213,4674487
2021-02-15,1804.676758,1833.830566,1683.906616,1779.791016,38955610883,81.95623502468227,87.06402476014892,-18.043764975317725,1298888497257.5334,3.5574494940807497,99.36151627496426,7.157612543458751,2,0,0,48696.535156,48875.570313,46347.476563,47945.058594,77069903166,1.000787,1.000993,0.999694,1.00025,162693579145,136.276779,139.219757,119.734985,129.567886,2414986848,8.724266,9.310638,7.840471,8.861739,109854635,1805.006836,1833.630859,1683.917114,1730.630493,366716
2021-02-16,1778.945557,1824.518677,1729.641968,1781.067505,34269369268,75.52110043249802,82.11321335095086,-24.47889956750199,1301768829656.7402,6.1519742372760415,99.32953764809156,11.682290448862055,1,0,0,47944.457031,50341.101563,47201.304688,49199.871094,77049582886,1.000263,1.000596,0.999411,1.000403,141032763591,129.739792,133.280609,126.796638,130.056656,1925775294,8.860748,8.980368,7.983557,8.297867,71625205,1743.820923,1839.359009,1704.655518,1776.184814,698271
2021-02-17,1781.350098,1853.667603,1736.705811,1848.458252,35955412703,93.742041573719,83.7397923436331,-6.2579584262810055,1334521412411.3108,14.5103727904304,102.23901713115262,7.552864551265265,1,1,0,49207.277344,52533.914063,49072.378906,52149.007813,80820545404,1.000341,1.001272,0.999803,1.00037,139150324868,130.080139,175.11615,127.092117,164.670105,5236224271,8.298689,8.433298,7.544399,8.222577,89948578,1776.186279,1834.355713,1731.011108,1827.822876,515172
2021-02-18,1848.206299,1949.903442,1848.206299,1937.449219,28255902969,97.2209898187539,88.82804394165699,-2.779010181246092,1355856662424.6562,10.925830766403688,105.87573610607213,15.47235520493009,4,0,1,52140.972656,52474.105469,51015.765625,51679.796875,52054723579,1.000362,1.000788,0.999531,1.000019,94966568287,165.018829,199.455627,163.274887,195.932632,6110987389,8.232871,9.279175,8.232871,8.980452,77306770,1828.04248,1946.083618,1812.009521,1932.122559,324347
2021-02-19,1938.859863,1969.546997,1896.684448,1960.164795,26268814253,97.99438496743905,96.31913878663732,-2.0056150325609483,1375360428652.1714,10.866852596541928,106.15055806753656,21.4304954754951,6,0,0,51675.980469,56113.652344,50937.277344,55888.132813,63495496918,1.000045,1.000698,0.999191,1.000201,113649609569,195.987854,342.879608,195.385742,332.616028,17982945189,8.97997,11.680577,8.556981,11.465653,261175711,1931.286743,1959.198364,1890.403198,1950.086182,3392486
2021-02-20,1959.902954,2036.286499,1830.531494,1919.534058,34696091102,78.15818105733538,91.12451861450946,-21.841818942664627,1370681017522.1174,10.049666760729986,103.1092961897588,9.900124338720078,3,0,0,55887.335938,57505.226563,54626.558594,56099.519531,68145460026,1.000228,1.000535,0.999496,1.000068,137486320908,332.918457,334.455048,227.913757,255.953735,9680520706,11.478087,11.786737,9.815854,10.002664,140264810,1950.087402,2030.55835,1826.482544,1913.767456,637944
